<config.params object at 0x7ff5fde30d30>
Train 54, loss: 0.01770995
best_epoch 6, best_loss: 20.19115284
Train 55, loss: 0.01743009
best_epoch 6, best_loss: 20.19115284
Train 56, loss: 0.01762546
best_epoch 6, best_loss: 20.19115284
Train 57, loss: 0.01732388
best_epoch 6, best_loss: 20.19115284
Train 58, loss: 0.01745121
best_epoch 6, best_loss: 20.19115284
Train 59, loss: 0.01730249
best_epoch 6, best_loss: 20.19115284
Train 60, loss: 0.01805450
best_epoch 6, best_loss: 20.19115284
Train 61, loss: 0.01781008
best_epoch 6, best_loss: 20.19115284
Train 62, loss: 0.01744964
best_epoch 6, best_loss: 20.19115284
Train 63, loss: 0.01742735
best_epoch 6, best_loss: 20.19115284
Train 64, loss: 0.01704629
best_epoch 6, best_loss: 20.19115284
Train 65, loss: 0.01704326
best_epoch 6, best_loss: 20.19115284
Train 66, loss: 0.01758276
best_epoch 6, best_loss: 20.19115284
Train 67, loss: 0.01863011
best_epoch 6, best_loss: 20.19115284
Train 68, loss: 0.01729547
best_epoch 6, best_loss: 20.19115284
Train 69, loss: 0.01732475
best_epoch 6, best_loss: 20.19115284
Train 70, loss: 0.01722704
best_epoch 6, best_loss: 20.19115284
Train 71, loss: 0.01716088
best_epoch 6, best_loss: 20.19115284
Train 72, loss: 0.01689114
best_epoch 6, best_loss: 20.19115284
Train 73, loss: 0.01729573
best_epoch 6, best_loss: 20.19115284
Train 74, loss: 0.01691539
best_epoch 6, best_loss: 20.19115284
Train 75, loss: 0.01716959
best_epoch 6, best_loss: 20.19115284
Train 76, loss: 0.01810035
best_epoch 6, best_loss: 20.19115284
Train 77, loss: 0.01783327
best_epoch 6, best_loss: 20.19115284
Train 78, loss: 0.01690116
best_epoch 6, best_loss: 20.19115284
Train 79, loss: 0.01762109
best_epoch 6, best_loss: 20.19115284
Train 80, loss: 0.01707230
best_epoch 6, best_loss: 20.19115284
Train 81, loss: 0.01733013
best_epoch 6, best_loss: 20.19115284
Train 82, loss: 0.01680979
best_epoch 6, best_loss: 20.19115284
Train 83, loss: 0.01622479
best_epoch 6, best_loss: 20.19115284
Train 84, loss: 0.01643317
best_epoch 6, best_loss: 20.19115284
Train 85, loss: 0.01638946
best_epoch 6, best_loss: 20.19115284
Train 86, loss: 0.01595125
best_epoch 86, best_loss: 19.21334924
Train 87, loss: 0.01631743
best_epoch 87, best_loss: 19.11671152
Train 88, loss: 0.01705143
best_epoch 87, best_loss: 19.11671152
Train 89, loss: 0.02187342
best_epoch 87, best_loss: 19.11671152
Train 90, loss: 0.01961952
best_epoch 87, best_loss: 19.11671152
Train 91, loss: 0.01876487
best_epoch 87, best_loss: 19.11671152
Train 92, loss: 0.01876571
best_epoch 87, best_loss: 19.11671152
Train 93, loss: 0.01935698
best_epoch 87, best_loss: 19.11671152
Train 94, loss: 0.01909995
best_epoch 87, best_loss: 19.11671152
Train 95, loss: 0.02068533
best_epoch 87, best_loss: 19.11671152
Train 96, loss: 0.01911265
best_epoch 87, best_loss: 19.11671152
Train 97, loss: 0.01831836
best_epoch 87, best_loss: 19.11671152
Train 98, loss: 0.01881897
best_epoch 87, best_loss: 19.11671152
Train 99, loss: 0.01838463
best_epoch 87, best_loss: 19.11671152
Train 100, loss: 0.01773159
best_epoch 87, best_loss: 19.11671152
Train 101, loss: 0.01681930
best_epoch 87, best_loss: 19.11671152
Train 102, loss: 0.01681582
best_epoch 87, best_loss: 19.11671152
Train 103, loss: 0.01651648
best_epoch 87, best_loss: 19.11671152
Train 104, loss: 0.01613760
best_epoch 87, best_loss: 19.11671152
Train 105, loss: 0.01608453
best_epoch 87, best_loss: 19.11671152
Train 106, loss: 0.01587040
best_epoch 87, best_loss: 19.11671152
Train 107, loss: 0.01671038
best_epoch 87, best_loss: 19.11671152
Train 108, loss: 0.01728287
best_epoch 87, best_loss: 19.11671152
Train 109, loss: 0.01674451
best_epoch 87, best_loss: 19.11671152
Train 110, loss: 0.01608598
best_epoch 87, best_loss: 19.11671152
Train 111, loss: 0.01580924
best_epoch 111, best_loss: 17.17708331
Train 112, loss: 0.01552354
best_epoch 111, best_loss: 17.17708331
Train 113, loss: 0.01546350
best_epoch 111, best_loss: 17.17708331
Train 114, loss: 0.01550969
best_epoch 111, best_loss: 17.17708331
Train 115, loss: 0.01654379
best_epoch 111, best_loss: 17.17708331
Train 116, loss: 0.01762653
best_epoch 111, best_loss: 17.17708331
Train 117, loss: 0.01636010
best_epoch 111, best_loss: 17.17708331
Train 118, loss: 0.01764263
best_epoch 111, best_loss: 17.17708331
Train 119, loss: 0.01987879
best_epoch 111, best_loss: 17.17708331
Train 120, loss: 0.01802300
best_epoch 111, best_loss: 17.17708331
Train 121, loss: 0.01702039
best_epoch 111, best_loss: 17.17708331
Train 122, loss: 0.01633457
best_epoch 111, best_loss: 17.17708331
Train 123, loss: 0.01599194
best_epoch 123, best_loss: 16.09378359
Train 124, loss: 0.01577800
best_epoch 123, best_loss: 16.09378359
Train 125, loss: 0.01619924
best_epoch 123, best_loss: 16.09378359
Train 126, loss: 0.01622117
best_epoch 126, best_loss: 15.61957586
Train 127, loss: 0.01882034
best_epoch 126, best_loss: 15.61957586
Train 128, loss: 0.01999057
best_epoch 126, best_loss: 15.61957586
Train 129, loss: 0.01887325
best_epoch 126, best_loss: 15.61957586
Train 130, loss: 0.01907521
best_epoch 126, best_loss: 15.61957586
Train 131, loss: 0.01660568
best_epoch 126, best_loss: 15.61957586
Train 132, loss: 0.01651982
best_epoch 126, best_loss: 15.61957586
Train 133, loss: 0.01696773
best_epoch 126, best_loss: 15.61957586
Train 134, loss: 0.01683284
best_epoch 126, best_loss: 15.61957586
Train 135, loss: 0.01859655
best_epoch 126, best_loss: 15.61957586
Train 136, loss: 0.01881034
best_epoch 126, best_loss: 15.61957586
Train 137, loss: 0.02055026
best_epoch 126, best_loss: 15.61957586
Train 138, loss: 0.01988584
best_epoch 126, best_loss: 15.61957586
Train 139, loss: 0.01966660
best_epoch 126, best_loss: 15.61957586
Train 140, loss: 0.01956198
best_epoch 126, best_loss: 15.61957586
Train 141, loss: 0.01938944
best_epoch 126, best_loss: 15.61957586
Train 142, loss: 0.01933830
best_epoch 126, best_loss: 15.61957586
Train 143, loss: 0.01922673
best_epoch 126, best_loss: 15.61957586
Train 144, loss: 0.01926065
best_epoch 126, best_loss: 15.61957586
Train 145, loss: 0.01915464
best_epoch 126, best_loss: 15.61957586
Train 146, loss: 0.01940607
best_epoch 126, best_loss: 15.61957586
Train 147, loss: 0.01913648
best_epoch 126, best_loss: 15.61957586
Train 148, loss: 0.01906042
best_epoch 126, best_loss: 15.61957586
Train 149, loss: 0.01892703
best_epoch 126, best_loss: 15.61957586
Train 150, loss: 0.01879427
